,action_type,combined_shot_type,game_event_id,lat,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,game_date,matchup,opponent,shot_id,attendance,arena_temp,avgnoisedb
1,Jump Shot,Jump Shot,10,33.9723,-118.1028,10,1,0,2000-01,27,18,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,10/31/2000,Away,POR,1,14707,69,94.06
2,Jump Shot,Jump Shot,254,34.0163,-118.2688,8,3,0,2000-01,5,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,10/31/2000,Away,POR,8,14707,69,94.06
3,Driving Layup Shot,Layup,100,34.0443,-118.2698,0,1,0,2000-01,1,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/1/2000,Home,UTA,17,15851,69,95.71
4,Driving Layup Shot,Layup,249,34.0443,-118.2698,10,3,0,2000-01,46,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/1/2000,Home,UTA,20,15851,69,95.71
5,Jump Shot,Jump Shot,4,33.9683,-118.1068,11,1,0,2000-01,26,17,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,11/4/2000,Away,VAN,33,14081,72,95.09
6,Jump Shot,Jump Shot,8,33.8503,-118.1998,10,1,0,2000-01,58,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,11/4/2000,Away,VAN,34,14081,72,95.09
7,Layup Shot,Layup,26,34.0253,-118.2688,7,1,0,2000-01,33,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/4/2000,Away,VAN,35,14081,72,95.09
8,Layup Shot,Layup,37,34.0293,-118.2818,5,1,0,2000-01,58,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/4/2000,Away,VAN,36,14081,72,95.09
9,Reverse Layup Shot,Layup,53,34.0403,-118.2688,4,1,0,2000-01,9,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/4/2000,Away,VAN,37,14081,72,95.09
10,Jump Shot,Jump Shot,165,33.9283,-118.3868,5,2,0,2000-01,33,16,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,11/4/2000,Away,VAN,38,14081,72,95.09
11,Layup Shot,Layup,281,34.0253,-118.2818,4,3,0,2000-01,29,2,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/4/2000,Away,VAN,45,14081,72,95.09
12,Jump Shot,Jump Shot,410,34.0143,-118.4458,3,4,0,2000-01,19,17,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,11/4/2000,Away,VAN,50,14081,72,95.09
13,Jump Shot,Jump Shot,60,33.7973,-118.4108,4,1,0,2000-01,58,28,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,11/5/2000,Home,LAC,55,16092,70,95.2
14,Jump Shot,Jump Shot,199,33.8033,-118.1238,3,2,0,2000-01,10,28,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,11/5/2000,Home,LAC,60,16092,70,95.2
15,Jump Shot,Jump Shot,397,33.9533,-118.2798,10,4,0,2000-01,13,9,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,11/5/2000,Home,LAC,66,16092,70,95.2
16,Jump Shot,Jump Shot,22,34.0083,-118.3888,9,1,0,2000-01,6,12,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,11/7/2000,Away,HOU,67,16025,70,92.22
17,Jump Shot,Jump Shot,55,33.9343,-118.1108,5,1,0,2000-01,15,19,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,11/7/2000,Away,HOU,71,16025,70,92.22
18,Jump Shot,Jump Shot,313,33.9973,-118.2118,11,4,0,2000-01,49,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,11/7/2000,Away,HOU,80,16025,70,92.22
19,Jump Shot,Jump Shot,20,33.9743,-118.2988,9,1,0,2000-01,48,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,11/8/2000,Away,SAS,85,13750,68,93.33
20,Turnaround Jump Shot,Jump Shot,33,33.9953,-118.3938,7,1,0,2000-01,26,13,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,11/8/2000,Away,SAS,86,13750,68,93.33
21,Turnaround Jump Shot,Jump Shot,180,34.0403,-118.1378,4,2,0,2000-01,25,13,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,11/8/2000,Away,SAS,95,13750,68,93.33
22,Jump Shot,Jump Shot,286,33.9073,-118.3708,4,3,0,2000-01,16,17,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,11/8/2000,Away,SAS,104,13750,68,93.33
23,Jump Shot,Jump Shot,418,33.8943,-118.4208,0,4,0,2000-01,43,21,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,11/8/2000,Away,SAS,113,13750,68,93.33
24,Jump Shot,Jump Shot,217,33.9913,-118.4248,2,2,0,2000-01,40,16,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,11/12/2000,Home,HOU,123,15229,71,95.42
25,Running Jump Shot,Jump Shot,261,33.9113,-118.3658,9,3,0,2000-01,59,16,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,11/12/2000,Home,HOU,126,15229,71,95.42
26,Reverse Layup Shot,Layup,327,34.0443,-118.2698,2,3,0,2000-01,56,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/12/2000,Home,HOU,133,15229,71,95.42
27,Jump Shot,Jump Shot,492,34.0083,-118.2248,1,4,0,2000-01,5,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,11/12/2000,Home,HOU,141,15229,71,95.42
28,Jump Shot,Jump Shot,55,34.0333,-118.0328,4,1,0,2000-01,52,23,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,11/14/2000,Home,DEN,144,14773,71,91.64
29,Driving Layup Shot,Layup,120,34.0443,-118.2698,10,2,0,2000-01,5,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/14/2000,Home,DEN,150,14773,71,91.64
30,Jump Shot,Jump Shot,179,33.8753,-118.2628,4,2,0,2000-01,14,16,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,11/14/2000,Home,DEN,152,14773,71,91.64
31,Driving Layup Shot,Layup,186,34.0443,-118.2698,3,2,0,2000-01,22,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/14/2000,Home,DEN,153,14773,71,91.64
32,Tip Shot,Tip Shot,220,34.0443,-118.2698,0,2,0,2000-01,26,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/14/2000,Home,DEN,156,14773,71,91.64
33,Reverse Dunk Shot,Dunk,318,34.0443,-118.2698,3,3,0,2000-01,53,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/14/2000,Home,DEN,159,14773,71,91.64
34,Dunk Shot,Dunk,418,34.0443,-118.2698,5,4,0,2000-01,32,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/14/2000,Home,DEN,165,14773,71,91.64
35,Jump Shot,Jump Shot,77,33.8503,-118.1998,1,1,0,2000-01,36,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,11/16/2000,Away,SAC,172,13184,67,93.81
36,Alley Oop Dunk Shot,Dunk,328,34.0443,-118.2698,11,4,0,2000-01,44,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/16/2000,Away,SAC,182,13184,67,93.81
37,Jump Shot,Jump Shot,54,34.0503,-118.0958,6,1,0,2000-01,24,17,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,11/18/2000,Away,DEN,192,16017,69,98.64
38,Driving Layup Shot,Layup,57,34.0443,-118.2698,6,1,0,2000-01,2,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/18/2000,Away,DEN,193,16017,69,98.64
39,Jump Shot,Jump Shot,100,34.0403,-118.1168,0,1,0,2000-01,18,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,11/18/2000,Away,DEN,196,16017,69,98.64
40,Jump Shot,Jump Shot,256,33.9783,-118.4318,10,3,0,2000-01,5,17,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,11/18/2000,Away,DEN,202,16017,69,98.64
41,Jump Shot,Jump Shot,411,33.8883,-118.4838,5,4,0,2000-01,19,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,11/18/2000,Away,DEN,210,16017,69,98.64
42,Jump Shot,Jump Shot,425,33.9073,-118.4188,3,4,0,2000-01,38,20,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,11/18/2000,Away,DEN,211,16017,69,98.64
43,Driving Dunk Shot,Dunk,322,34.0443,-118.2698,0,3,0,2000-01,4,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/19/2000,Home,CHI,228,15396,70,93.19
44,Jump Shot,Jump Shot,56,33.8903,-118.1638,6,1,0,2000-01,22,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,11/24/2000,Home,MIN,257,15954,71,95.3
45,Jump Shot,Jump Shot,86,33.8903,-118.1638,3,1,0,2000-01,25,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,11/24/2000,Home,MIN,260,15954,71,95.3
46,Jump Shot,Jump Shot,256,33.9073,-118.1548,9,3,0,2000-01,18,17,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,11/24/2000,Home,MIN,264,15954,71,95.3
47,Turnaround Jump Shot,Jump Shot,308,34.0633,-118.4108,3,3,0,2000-01,12,14,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,11/24/2000,Home,MIN,267,15954,71,95.3
48,Alley Oop Dunk Shot,Dunk,62,34.0443,-118.2698,5,1,0,2000-01,17,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/27/2000,Away,LAC,279,16833,72,97.43
49,Jump Shot,Jump Shot,207,33.9033,-118.1718,2,2,0,2000-01,38,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,11/27/2000,Away,LAC,282,16833,72,97.43
50,Jump Shot,Jump Shot,374,33.9283,-118.2188,10,4,0,2000-01,39,12,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,11/27/2000,Away,LAC,293,16833,72,97.43
51,Running Jump Shot,Jump Shot,171,33.9383,-118.3348,8,2,0,2000-01,11,12,1,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,11/28/2000,Home,IND,299,16489,71,94
52,Turnaround Jump Shot,Jump Shot,203,33.9383,-118.3848,6,2,0,2000-01,11,15,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,11/28/2000,Home,IND,300,16489,71,94
53,Running Jump Shot,Jump Shot,205,33.9893,-118.3558,5,2,0,2000-01,47,10,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,11/28/2000,Home,IND,301,16489,71,94
54,Jump Shot,Jump Shot,439,33.8273,-118.3868,9,4,0,2000-01,23,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,11/28/2000,Home,IND,317,16489,71,94
55,Jump Shot,Jump Shot,243,33.8603,-118.1028,0,2,0,2000-01,28,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,11/30/2000,Away,SEA,327,14290,71,92.8
56,Jump Shot,Jump Shot,254,34.0253,-118.1408,10,3,0,2000-01,59,13,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,11/30/2000,Away,SEA,328,14290,71,92.8
57,Layup Shot,Layup,36,34.0443,-118.2698,8,1,0,2000-01,14,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,12/1/2000,Home,SAS,335,14925,70,93.42
58,Running Jump Shot,Jump Shot,208,33.9893,-118.2858,3,2,0,2000-01,14,5,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,12/1/2000,Home,SAS,346,14925,70,93.42
59,Jump Shot,Jump Shot,267,33.9763,-118.2438,10,3,0,2000-01,15,7,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,12/1/2000,Home,SAS,348,14925,70,93.42
60,Jump Shot,Jump Shot,4,33.8633,-118.2858,11,1,0,2000-01,18,18,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,12/3/2000,Home,DAL,365,16383,70,100.43
61,Driving Layup Shot,Layup,428,34.0443,-118.2698,4,4,0,2000-01,16,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,12/3/2000,Home,DAL,390,16383,70,100.43
62,Driving Layup Shot,Layup,466,34.0443,-118.2698,1,4,0,2000-01,14,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,12/3/2000,Home,DAL,391,16383,70,100.43
63,Running Jump Shot,Jump Shot,473,34.0333,-118.3428,0,4,0,2000-01,41,7,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,12/3/2000,Home,DAL,392,16383,70,100.43
64,Jump Shot,Jump Shot,99,33.7973,-118.1528,1,1,0,2000-01,27,27,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,12/5/2000,Home,PHI,397,15437,72,91.39
65,Jump Shot,Jump Shot,439,33.8633,-118.1168,4,4,0,2000-01,16,23,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,12/5/2000,Home,PHI,418,15437,72,91.39
66,Jump Shot,Jump Shot,106,34.0443,-118.4168,0,1,0,2000-01,0,14,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,12/6/2000,Away,GSW,428,14931,67,93.95
67,Turnaround Jump Shot,Jump Shot,201,33.9783,-118.3298,0,2,0,2000-01,33,8,1,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,12/6/2000,Away,GSW,434,14931,67,93.95
68,Layup Shot,Layup,250,34.0443,-118.2698,8,3,0,2000-01,25,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,12/6/2000,Away,GSW,439,14931,67,93.95
